Transaction Date,Description,Amount,Category,Notes
01/15/2026,Trader Joe's,67.43,Groceries,Weekly grocery run
01/16/2026,Lyft,12.50,Transport,Ride to airport
01/17/2026,Hulu,17.99,Subscriptions,Monthly plan
01/18/2026,Shake Shack,23.75,Dining,Lunch with colleague
01/19/2026,Target,134.22,Shopping,Household items
01/20/2026,Walgreens,28.90,Healthcare,Vitamins and medicine
01/21/2026,Coursera,49.00,Education,Python course
01/22/2026,PG&E,112.45,Utilities,Electricity bill
01/23/2026,Southwest Airlines,320.00,Travel,Flight to NYC
01/24/2026,Panera Bread,18.60,Dining,Breakfast meeting
01/25/2026,Apple App Store,9.99,Subscriptions,App purchase
01/26/2026,Costco,243.17,Groceries,Bulk shopping
01/27/2026,Metro Card,33.00,Transport,Monthly transit pass
01/28/2026,Sephora,78.50,Shopping,Skincare products
01/29/2026,Planet Fitness,24.99,Healthcare,Gym membership
01/30/2026,DoorDash,41.30,Dining,Dinner delivery
02/01/2026,Microsoft 365,9.99,Subscriptions,Office subscription
02/02/2026,Shell Gas Station,58.20,Transport,Gas refill
02/03/2026,Barnes & Noble,32.45,Education,Two books
02/04/2026,Marriott Hotel,289.00,Travel,Weekend stay
02/05/2026,Aldi,54.10,Groceries,Weekly groceries
02/06/2026,Zoom,15.99,Subscriptions,Pro plan
02/07/2026,H&M,89.95,Shopping,Clothing
02/08/2026,Duane Reade,19.40,Healthcare,Cold medicine
02/09/2026,Regal Cinemas,28.00,Entertainment,Movie night for two
02/10/2026,Starbucks,6.75,Dining,Morning coffee
02/11/2026,AT&T,85.00,Utilities,Phone bill
02/12/2026,Airbnb,412.00,Travel,Weekend getaway
02/13/2026,Instacart,94.30,Groceries,Grocery delivery
02/14/2026,AMC Theatres,32.50,Entertainment,Valentine's movie
02/15/2026,IKEA,178.60,Shopping,Home furnishings
02/16/2026,Headspace,12.99,Subscriptions,Meditation app
02/17/2026,BP Gas Station,61.40,Transport,Gas refill
02/18/2026,Whole Foods,88.75,Groceries,Organic produce
02/19/2026,United Airlines,445.00,Travel,Flight to LA
02/20/2026,Cheesecake Factory,67.80,Dining,Birthday dinner
02/21/2026,Google One,2.99,Subscriptions,Cloud storage
02/22/2026,Best Buy,299.99,Shopping,Headphones
02/23/2026,Urgent Care,150.00,Healthcare,Doctor visit copay
02/24/2026,MTA Bus,2.75,Transport,Single ride
02/25/2026,LinkedIn Learning,39.99,Education,Monthly subscription
02/26/2026,National Grid,98.30,Utilities,Gas bill
02/27/2026,Olive Garden,54.20,Dining,Family dinner
02/28/2026,Dropbox,11.99,Subscriptions,Plus plan
03/01/2026,Trader Joe's,72.18,Groceries,Weekly shop
03/02/2026,Hertz,189.00,Travel,Car rental
03/03/2026,Zara,124.50,Shopping,Spring clothing
03/04/2026,Peloton,44.00,Healthcare,Fitness subscription
03/05/2026,Five Guys,19.80,Dining,Burgers
03/06/2026,Verizon,95.00,Utilities,Phone bill
